ID,Raw,Español,Kanji,Hiragana,Nivel
1,行く (いく),ir,行く,いく,1
2,見る (みる),mirar,見る,みる,1
3,多い (おおい),muchos,多い,おおい,1
4," (うち)",hogar,none,うち,1
5,これ,esto,none,これ,1
6,それ,eso,none,それ,1
7,私(わたし）,yo,私,わたし,1
8,仕事　（しごと）,trabajo,仕事,しごと,1
9,いつ,cuando,none,いつ,1
10,する,hacer,none,する,1
11,出る,salir,出る,でる,1
12,使う,usar,使う,つかう,1
13,所,"lugar, sitio",所,ところ,1
14,作る,preparar,作る,つくる,1
15,思う,"pensar, creer",思う,おもう,1
16,持つ,"tener, poseer",持つ,もつ,1
17,買う,comprar,買う,かう,1
18,時間,tiempo,時間,じかん,1
19,知る,saber,知る,しる,1
20,同じ,igual,同じ,おなじ,1
21,今,ahora,今,いま,1
22,新しい,nuevo,新しい,あたらしい,1
23,なる,"convertirse, volverse",none,なる,1
24,まだ,"todavia ",none,まだ,1
25,あと,despues,none,あと,1
26,聞く,escuchar,聞く,きく,1
27,言う,decir,言う,いう,1
28,少ない,insuficiente,少ない,すくな,1
29,子供,"niño/a, hijo",子供,こども,1
30,そう,asi,none,そう,1
31,学生,estudiante,学生,がくせい,1
32,熱い,caliente al tacto,熱い,あつい,1
33,どうぞ,prosiga,none,どうぞ,1
34,午後,"p.m, la tarde",午後,ごご,1
35,長い,largo,長い,ながい,1
,,,,,
